Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Multimedia programmer,Transportation,Decreasing,High,58246.87,High School,15,9427,1619,93.22,59.22,Germany,75.77
Science writer,Entertainment,Decreasing,High,140574.79,PhD,15,8158,7701,13.4,68.22,Germany,65.23
"Surveyor, building control",Education,Increasing,Moderate,108753.34,Bachelor’s Degree,16,1605,4557,76.3,52.45,USA,71.22
Civil Service fast streamer,Manufacturing,Increasing,High,65034.04,Bachelor’s Degree,15,2490,9307,62.57,90.29,UK,61.4
Sales promotion account executive,Entertainment,Increasing,High,56386.6,Master’s Degree,5,8442,9989,19.9,10.41,China,43.36
Hydrogeologist,Retail,Increasing,Low,123476.42,Bachelor’s Degree,8,413,8099,25.34,70.3,Brazil,38.08
Tourist information centre manager,IT,Decreasing,High,99464.15,Associate Degree,17,157,4620,3.03,87.17,Brazil,47.63
Ophthalmologist,Retail,Decreasing,Moderate,108280.12,Bachelor’s Degree,7,426,5596,78.87,28.87,UK,76.29
Planning and development surveyor,Education,Increasing,Low,79116.65,PhD,9,1018,1712,0.38,32.02,China,52.57
Advice worker,Transportation,Decreasing,Moderate,48467.46,Bachelor’s Degree,16,8281,5631,22.3,99.87,India,75.49
Theatre stage manager,Manufacturing,Decreasing,Moderate,109775.27,PhD,19,5066,8757,87.81,63.34,Germany,55.58
Trading standards officer,Finance,Increasing,Moderate,73020.53,Associate Degree,13,5516,2984,89.61,36.35,Australia,60.22
Advertising account planner,Education,Decreasing,High,84147.48,Bachelor’s Degree,12,854,2320,64.23,71.92,India,48.89
Media planner,IT,Decreasing,High,94481.08,PhD,1,346,9470,84.71,57.56,UK,30.98
Occupational hygienist,Transportation,Decreasing,Low,72777.1,Master’s Degree,3,1390,9570,91.69,65.05,Canada,59.86
"Engineer, maintenance",Education,Decreasing,Low,90158.4,Associate Degree,15,5455,1437,30.04,13.43,USA,54.45
Psychiatric nurse,Retail,Increasing,Low,114522.76,High School,9,5790,5464,48.1,77.33,China,79.3
Ecologist,Manufacturing,Increasing,Low,89577.79,Bachelor’s Degree,9,2447,9394,69.99,4.48,Australia,26.1
"Education officer, museum",Retail,Increasing,High,135751.16,Bachelor’s Degree,20,3132,6118,80.61,31.44,USA,60.63
Field trials officer,Healthcare,Decreasing,Moderate,115820.04,PhD,10,950,4590,34.0,5.96,India,49.22
Animal nutritionist,Finance,Increasing,Low,71900.61,High School,12,3454,5505,29.46,57.3,Germany,25.28
Early years teacher,Education,Increasing,Moderate,48850.9,Associate Degree,20,6699,7231,58.19,44.16,Australia,67.57
"Surveyor, insurance",Retail,Increasing,Moderate,130621.33,High School,18,8983,1542,95.54,2.42,USA,26.38
Paramedic,Retail,Decreasing,Low,96870.27,PhD,4,3133,9702,89.56,5.7,Australia,68.58
Art therapist,Healthcare,Decreasing,Moderate,147069.03,PhD,16,253,3695,24.44,68.82,USA,60.4
Bonds trader,Retail,Decreasing,Moderate,100044.15,High School,4,1350,8022,77.94,85.03,Australia,79.61
Insurance risk surveyor,Manufacturing,Increasing,Low,54018.94,Master’s Degree,6,2636,7043,97.99,67.17,China,47.22
Quality manager,IT,Decreasing,Moderate,95159.4,Master’s Degree,19,4855,9291,2.6,75.83,Germany,74.67
Building surveyor,Manufacturing,Increasing,High,131317.1,Associate Degree,1,1715,3219,33.95,1.53,UK,69.83
"Editor, magazine features",Finance,Increasing,High,83436.54,Associate Degree,5,956,1497,80.46,40.51,Brazil,21.7
Clothing/textile technologist,Entertainment,Increasing,High,69021.79,Associate Degree,13,3932,2903,24.24,4.94,Germany,55.06
Administrator,Entertainment,Increasing,High,69003.77,PhD,7,5237,3492,97.07,90.2,USA,24.48
"Nurse, children's",Retail,Increasing,Moderate,87136.42,High School,13,7949,8611,14.51,91.81,UK,40.2
Land/geomatics surveyor,IT,Increasing,Moderate,130089.44,PhD,17,7450,3059,35.71,59.5,Canada,55.8
Product/process development scientist,Manufacturing,Decreasing,Low,53824.11,Bachelor’s Degree,16,7171,8062,92.07,92.17,USA,49.5
Dance movement psychotherapist,Manufacturing,Decreasing,Moderate,73775.08,High School,11,5389,3157,46.77,38.78,India,59.67
Planning and development surveyor,Manufacturing,Decreasing,High,59841.08,Associate Degree,8,3301,3632,31.75,26.98,USA,69.27
Building surveyor,Entertainment,Increasing,Moderate,105467.19,Associate Degree,5,4687,544,71.49,27.19,China,44.22
Hospital doctor,Finance,Decreasing,Low,48484.95,Associate Degree,7,9759,6482,65.47,12.8,Germany,70.32
"Conservation officer, nature",IT,Decreasing,Moderate,95427.28,Associate Degree,16,4204,8742,30.16,68.98,Germany,70.35
Product/process development scientist,Education,Decreasing,Low,135081.39,Bachelor’s Degree,8,1734,3837,67.22,61.91,India,66.0
Museum education officer,IT,Decreasing,Moderate,136707.93,PhD,1,332,917,75.27,57.36,Brazil,30.34
Art gallery manager,Retail,Decreasing,Moderate,148488.68,Bachelor’s Degree,4,2180,306,68.82,81.0,Australia,26.3
Manufacturing systems engineer,Entertainment,Increasing,Moderate,119299.56,High School,4,899,4992,74.3,25.72,India,72.84
Holiday representative,Education,Decreasing,Moderate,108823.28,Associate Degree,12,3871,5321,87.12,20.07,Germany,26.57
Insurance account manager,Retail,Increasing,Moderate,58299.6,PhD,12,847,3087,28.95,71.39,India,44.29
Paramedic,Education,Decreasing,Low,76908.0,Associate Degree,9,2104,5813,4.97,6.89,UK,42.49
Meteorologist,Transportation,Increasing,High,145176.4,PhD,2,4800,2024,46.58,33.69,Australia,44.33
"Development worker, community",Transportation,Increasing,High,134915.24,Master’s Degree,5,1363,8411,18.23,54.49,Canada,70.54
Fisheries officer,Entertainment,Increasing,Low,127595.21,Master’s Degree,0,3774,453,42.31,97.24,India,47.8
Primary school teacher,Manufacturing,Increasing,High,51392.93,PhD,12,8451,4156,48.91,73.62,UK,60.01
Chartered legal executive (England and Wales),Finance,Increasing,Low,81876.15,PhD,13,3247,2958,17.24,97.2,Australia,28.21
Arboriculturist,Transportation,Decreasing,High,144558.48,Associate Degree,13,406,4568,63.54,62.45,USA,43.29
Psychiatrist,Transportation,Increasing,High,136411.2,High School,8,4760,158,12.19,45.28,India,66.85
Theatre manager,Retail,Increasing,Moderate,33206.02,Associate Degree,10,4172,4196,32.83,54.1,India,59.9
"Psychologist, forensic",Finance,Increasing,Low,93622.01,Bachelor’s Degree,8,5119,8405,40.45,16.54,Brazil,48.89
Early years teacher,Transportation,Decreasing,Moderate,53936.74,Master’s Degree,13,7574,3684,2.92,55.82,UK,29.5
"Geologist, wellsite",Manufacturing,Decreasing,Low,74895.77,Bachelor’s Degree,9,2826,7801,39.43,23.96,Canada,52.27
Drilling engineer,Entertainment,Decreasing,High,83738.12,High School,13,3432,1794,81.43,5.69,China,34.53
Police officer,Education,Increasing,Low,47812.86,High School,0,3722,5131,57.62,16.59,Brazil,65.34
"Designer, ceramics/pottery",Healthcare,Increasing,High,85315.94,PhD,11,8970,6698,61.67,40.84,India,41.38
Waste management officer,Retail,Decreasing,Low,117473.34,Master’s Degree,14,1341,8557,13.42,0.85,Canada,76.55
Materials engineer,Retail,Decreasing,Moderate,34223.98,Master’s Degree,14,7676,1939,83.56,17.35,China,76.17
Chief Operating Officer,Transportation,Decreasing,High,134613.44,Master’s Degree,10,4972,6546,7.36,31.53,India,44.75
Chief of Staff,Education,Decreasing,Moderate,75634.63,High School,8,7410,2711,28.04,39.58,Australia,33.3
Environmental health practitioner,Manufacturing,Increasing,Moderate,62199.75,Bachelor’s Degree,9,7994,6388,57.85,86.39,Canada,77.86
Private music teacher,Manufacturing,Increasing,Moderate,101442.28,Associate Degree,19,9230,3956,72.88,34.47,Germany,39.84
Horticultural therapist,Transportation,Decreasing,High,72624.04,Bachelor’s Degree,13,6523,2579,95.26,58.98,USA,43.38
Marketing executive,Healthcare,Increasing,Moderate,102084.34,Associate Degree,20,9568,5437,42.65,20.91,Australia,60.1
Health physicist,Education,Increasing,High,92600.6,High School,5,2270,1217,68.96,56.71,Brazil,48.77
Race relations officer,Healthcare,Decreasing,Low,137292.31,Bachelor’s Degree,19,3067,3729,27.13,69.49,China,75.24
Diagnostic radiographer,IT,Decreasing,Moderate,137549.65,High School,6,6373,5047,46.98,64.15,China,60.42
Geophysical data processor,Retail,Increasing,High,75155.07,PhD,2,3529,4070,27.28,82.23,UK,47.54
Medical technical officer,Healthcare,Decreasing,Moderate,105720.36,Associate Degree,4,1698,782,73.59,73.07,Canada,37.59
Magazine features editor,Healthcare,Increasing,Moderate,38698.79,Bachelor’s Degree,3,8367,3396,49.35,96.98,Canada,68.39
"Education officer, community",Transportation,Decreasing,High,65116.28,Associate Degree,20,2124,2097,84.08,21.24,Australia,35.84
Media planner,Manufacturing,Increasing,Moderate,80355.51,Master’s Degree,16,6843,2638,56.28,61.65,Germany,50.75
Technical brewer,Education,Decreasing,High,72637.78,Associate Degree,14,9028,2992,15.85,88.03,Brazil,29.12
"Engineer, civil (consulting)",Transportation,Decreasing,High,61117.79,High School,4,1637,1603,72.72,64.13,Brazil,41.25
Legal executive,Entertainment,Decreasing,Moderate,76756.26,High School,5,7307,6717,7.42,95.07,Brazil,28.65
Aid worker,Manufacturing,Decreasing,Low,105826.36,Bachelor’s Degree,6,9103,6551,54.48,32.87,Germany,65.49
Office manager,Transportation,Increasing,Low,123035.03,Bachelor’s Degree,0,2854,1069,15.8,83.98,USA,74.83
Trading standards officer,Entertainment,Decreasing,Low,65233.92,Associate Degree,20,4332,2021,81.69,5.78,Canada,58.38
Mental health nurse,Healthcare,Increasing,Moderate,65427.14,Bachelor’s Degree,20,8445,6483,33.47,45.7,China,39.34
Risk manager,Transportation,Decreasing,Low,37807.8,High School,13,8296,9168,99.52,35.63,Brazil,51.18
Chiropractor,Education,Increasing,High,96572.02,High School,2,3185,6067,63.28,6.13,Germany,51.62
"Editor, magazine features",Finance,Increasing,Low,124450.41,Associate Degree,6,4217,743,13.3,41.82,UK,59.28
Music tutor,Education,Increasing,High,38741.45,PhD,9,7847,7590,97.82,19.65,USA,66.39
Investment analyst,IT,Decreasing,High,87067.58,High School,4,210,8979,8.74,59.38,UK,56.77
Theatre manager,Entertainment,Decreasing,High,91654.43,High School,3,6139,5173,4.26,99.2,Brazil,76.74
Air broker,IT,Increasing,High,80495.28,Associate Degree,1,1908,9897,40.59,61.24,Brazil,45.97
Land/geomatics surveyor,Manufacturing,Decreasing,Moderate,92268.53,Master’s Degree,5,7601,1395,94.62,73.38,Canada,64.68
Personal assistant,Entertainment,Decreasing,High,130746.85,PhD,5,5284,2661,26.56,48.49,UK,41.86
"Psychologist, prison and probation services",Healthcare,Decreasing,Low,112486.91,PhD,6,9879,4933,81.35,5.01,Canada,32.88
"Scientist, forensic",Education,Increasing,High,60502.22,Associate Degree,18,6800,5693,77.28,38.53,Australia,75.46
Curator,Healthcare,Increasing,High,148290.86,Associate Degree,18,5471,7600,89.45,35.46,Germany,20.59
"Teacher, music",Finance,Increasing,Low,96458.39,High School,19,3567,1315,31.3,45.26,Australia,72.35
"Psychologist, sport and exercise",Healthcare,Decreasing,Moderate,71094.19,Master’s Degree,4,604,4221,57.97,74.71,China,71.82
"Doctor, general practice",Finance,Increasing,High,137059.13,Master’s Degree,15,1495,4757,47.71,16.47,Australia,79.98
Building surveyor,IT,Decreasing,Low,39404.25,Bachelor’s Degree,15,8825,416,84.49,58.52,UK,60.1
"Therapist, nutritional",Retail,Decreasing,Low,139852.56,High School,11,2053,5831,99.99,41.63,Brazil,78.87
Armed forces technical officer,Entertainment,Decreasing,Low,69702.75,Associate Degree,3,6996,6574,18.7,18.2,Germany,62.69
Furniture designer,Healthcare,Increasing,High,123497.67,High School,13,3479,6489,68.51,90.88,Brazil,56.91
Adult nurse,IT,Increasing,High,39633.05,PhD,18,4035,2821,25.18,79.65,Australia,60.86
"Surveyor, insurance",Finance,Increasing,High,99782.97,Bachelor’s Degree,8,5330,5849,28.81,97.42,Australia,76.03
Games developer,IT,Increasing,Moderate,37874.54,PhD,15,7109,5156,34.77,41.83,Germany,60.59
Financial adviser,IT,Decreasing,Low,81349.89,PhD,19,462,9498,54.49,28.54,China,30.34
Ecologist,Entertainment,Increasing,Low,117630.33,Master’s Degree,0,5280,6670,87.72,35.49,China,55.6
"Nurse, children's",Transportation,Decreasing,Moderate,62506.87,Master’s Degree,0,5275,4723,92.19,24.06,Brazil,44.22
Trade union research officer,Education,Decreasing,High,108701.09,PhD,8,9053,3190,53.59,49.9,Canada,62.47
Dancer,Transportation,Increasing,Low,74924.07,PhD,12,9990,8850,49.22,86.26,China,59.18
"Administrator, arts",Education,Decreasing,High,89332.42,High School,14,2742,2078,65.68,59.2,Australia,32.95
"Engineer, land",Healthcare,Decreasing,Low,125113.78,PhD,7,3728,8128,43.22,61.68,Brazil,44.21
Chiropractor,Finance,Increasing,Moderate,79432.41,High School,18,326,9116,24.33,44.48,Australia,22.45
Video editor,Education,Increasing,Low,74214.85,High School,19,1011,8900,97.38,68.57,Brazil,51.78
Building surveyor,Healthcare,Decreasing,Moderate,83220.41,Bachelor’s Degree,20,6513,8247,63.25,27.3,India,73.3
Hospital pharmacist,Education,Decreasing,Moderate,128059.22,Master’s Degree,20,7772,6160,92.67,16.96,Australia,69.78
"Editor, commissioning",Finance,Increasing,Low,38935.32,Associate Degree,12,1226,3447,7.97,54.22,India,52.8
Financial adviser,Retail,Decreasing,High,70037.55,Associate Degree,6,3485,9480,15.11,32.27,Brazil,27.96
Actor,Education,Increasing,Low,100103.91,Associate Degree,16,970,7230,69.1,50.14,USA,51.56
"Engineer, communications",IT,Increasing,Low,95650.74,Bachelor’s Degree,0,5071,3897,26.03,19.5,Germany,24.4
"Psychologist, educational",Manufacturing,Increasing,Moderate,67882.67,Associate Degree,13,8640,7033,44.08,25.81,Canada,20.73
Building control surveyor,Entertainment,Increasing,Low,115256.59,PhD,3,4685,9427,46.25,20.98,USA,39.37
"Scientist, research (medical)",Finance,Increasing,High,77591.61,High School,8,352,1088,40.44,76.72,China,50.8
Conference centre manager,Transportation,Decreasing,High,41744.85,Associate Degree,6,159,4101,35.72,93.18,Brazil,45.83
"Designer, multimedia",Entertainment,Increasing,Low,146741.09,High School,8,1339,6240,81.81,97.56,USA,78.21
Sports administrator,Transportation,Decreasing,Low,106935.78,Master’s Degree,16,4532,5334,29.66,75.13,Canada,79.49
Midwife,Retail,Decreasing,Moderate,65692.31,Bachelor’s Degree,5,4838,6212,82.47,67.38,Australia,68.17
Government social research officer,Manufacturing,Decreasing,High,144604.9,High School,10,851,7060,36.5,31.95,Germany,41.66
"Teacher, early years/pre",IT,Increasing,Low,71254.6,Master’s Degree,6,7759,1423,90.51,94.29,India,48.3
Learning mentor,Finance,Increasing,Low,101628.77,High School,17,9277,3963,80.76,51.51,Brazil,67.39
Event organiser,Education,Increasing,Low,114482.53,Master’s Degree,5,4196,6088,9.53,3.27,UK,37.58
"Therapist, sports",Entertainment,Decreasing,High,46751.43,Bachelor’s Degree,17,8576,6062,58.11,38.18,Brazil,49.94
Heritage manager,Retail,Decreasing,Low,105030.54,High School,3,2902,8986,9.95,38.36,Australia,62.05
Podiatrist,Finance,Increasing,High,38919.1,PhD,11,5290,4674,16.48,4.83,Canada,46.42
"Nurse, adult",Transportation,Increasing,Low,30796.9,Bachelor’s Degree,0,3515,4185,38.37,91.4,Germany,74.8
Art gallery manager,Education,Decreasing,Moderate,115364.51,Bachelor’s Degree,10,7562,6484,5.02,76.48,USA,55.09
Consulting civil engineer,Entertainment,Decreasing,High,108948.77,Bachelor’s Degree,15,8879,7492,5.31,53.74,China,33.78
Industrial buyer,IT,Decreasing,High,93327.19,PhD,4,5402,3673,52.67,22.96,Canada,47.04
Counselling psychologist,Retail,Increasing,High,40816.06,Bachelor’s Degree,7,6453,6550,67.17,42.13,Australia,72.75
Translator,Transportation,Decreasing,Low,94729.66,High School,1,9319,1562,83.8,47.91,UK,51.66
Geochemist,Transportation,Increasing,Low,104122.82,Master’s Degree,13,9907,5715,62.13,68.79,USA,37.66
"Conservator, furniture",Education,Increasing,Low,87840.39,PhD,16,7328,2913,22.1,32.34,India,68.84
Forest/woodland manager,Finance,Decreasing,Moderate,77984.65,High School,12,9251,4360,85.07,77.05,Brazil,41.86
Sports development officer,Transportation,Increasing,High,118967.61,PhD,18,9122,7969,15.8,3.78,China,79.56
"Engineer, production",Healthcare,Increasing,Moderate,124728.12,Master’s Degree,11,5106,4736,18.01,3.7,Canada,64.16
Research scientist (maths),IT,Increasing,Low,99758.2,Bachelor’s Degree,11,3317,8429,22.54,53.62,Germany,78.63
Aid worker,Healthcare,Decreasing,High,41979.76,Bachelor’s Degree,13,8229,3333,31.34,65.3,Canada,72.08
Recruitment consultant,Retail,Increasing,Moderate,107549.88,High School,3,1311,9825,26.0,38.69,China,44.62
"Nurse, learning disability",Transportation,Decreasing,High,109532.72,Associate Degree,15,3352,3614,50.56,81.73,UK,66.21
"Education officer, museum",IT,Increasing,High,88305.14,Bachelor’s Degree,14,5105,5176,43.95,31.66,USA,74.96
Farm manager,Healthcare,Decreasing,High,127920.34,Associate Degree,20,4963,3393,5.14,8.98,Canada,30.4
Financial risk analyst,Manufacturing,Decreasing,Low,31444.85,Bachelor’s Degree,12,8830,704,46.43,2.94,Germany,64.29
Games developer,Manufacturing,Increasing,Low,39437.21,High School,12,542,1213,79.01,66.22,Australia,46.12
Orthoptist,Healthcare,Increasing,Moderate,82648.77,PhD,1,1168,7523,41.42,28.75,Australia,39.57
Prison officer,Education,Increasing,Moderate,113729.24,Associate Degree,16,5875,7499,40.74,28.95,Germany,26.5
Television production assistant,Transportation,Increasing,Moderate,145174.27,Master’s Degree,12,6128,1691,60.81,81.8,Canada,68.82
"Scientist, marine",Entertainment,Decreasing,High,86512.07,Associate Degree,13,1819,480,26.99,52.26,China,28.03
"Engineer, civil (consulting)",Manufacturing,Increasing,Moderate,60293.14,Bachelor’s Degree,9,8418,7433,60.62,66.22,India,57.25
Arts administrator,IT,Decreasing,Moderate,43039.36,High School,6,7283,1670,16.22,5.25,India,66.21
"Teacher, secondary school",Entertainment,Decreasing,Moderate,139633.92,Associate Degree,9,8618,5338,15.8,43.49,India,58.34
Archaeologist,Healthcare,Decreasing,Moderate,103435.51,Associate Degree,18,8755,3387,1.1,67.98,Canada,79.59
Furniture conservator/restorer,Finance,Increasing,Low,138442.79,Bachelor’s Degree,3,5312,5052,89.2,31.27,UK,53.67
Meteorologist,Entertainment,Increasing,High,40121.14,Bachelor’s Degree,12,1665,199,70.43,24.69,China,60.05
Set designer,Transportation,Decreasing,Moderate,70440.16,Master’s Degree,16,5699,686,53.15,85.36,UK,69.51
Dramatherapist,Finance,Increasing,Low,77922.61,High School,16,9738,929,0.52,12.34,UK,62.01
Contractor,Healthcare,Decreasing,Low,71834.37,High School,20,5918,3666,29.99,54.4,Canada,31.87
Purchasing manager,Entertainment,Decreasing,Low,93979.28,Master’s Degree,9,1008,8901,90.56,9.77,Germany,43.52
TEFL teacher,Retail,Decreasing,High,98214.5,Bachelor’s Degree,7,8133,6154,70.49,37.76,Australia,46.63
